diagnosticos_principales,sexos_id,sexos_nombre,urgencia_ingreso,estancia_media_hospitales_canarias,notas_observacion
0104 Septicemia A40-A41,M,Hombres,Total,28.23,
0104 Septicemia A40-A41,M,Hombres,Ordinario,91.44,
0104 Septicemia A40-A41,M,Hombres,Urgente,18.15,
0104 Septicemia A40-A41,F,Mujeres,Total,27.92,
0104 Septicemia A40-A41,F,Mujeres,Ordinario,81.75,
0104 Septicemia A40-A41,F,Mujeres,Urgente,17.21,
0105 Infección del virus de la inmunodeficiencia humana B20,T,Ambos sexos,Total,20.80,
0105 Infección del virus de la inmunodeficiencia humana B20,T,Ambos sexos,Ordinario,18.75,
0105 Infección del virus de la inmunodeficiencia humana B20,T,Ambos sexos,Urgente,21.00,
0105 Infección del virus de la inmunodeficiencia humana B20,M,Hombres,Total,22.13,
0105 Infección del virus de la inmunodeficiencia humana B20,M,Hombres,Ordinario,25.00,
0105 Infección del virus de la inmunodeficiencia humana B20,M,Hombres,Urgente,21.93,
0105 Infección del virus de la inmunodeficiencia humana B20,F,Mujeres,Total,15.26,
0105 Infección del virus de la inmunodeficiencia humana B20,F,Mujeres,Ordinario,9.47,
0105 Infección del virus de la inmunodeficiencia humana B20,F,Mujeres,Urgente,16.55,
"0106 COVID-19 U07.1, U09.9",T,Ambos sexos,Total,14.00,
"0106 COVID-19 U07.1, U09.9",T,Ambos sexos,Ordinario,25.67,
"0106 COVID-19 U07.1, U09.9",T,Ambos sexos,Urgente,13.65,
"0106 COVID-19 U07.1, U09.9",M,Hombres,Total,14.89,
"0106 COVID-19 U07.1, U09.9",M,Hombres,Ordinario,24.88,
"0106 COVID-19 U07.1, U09.9",M,Hombres,Urgente,14.58,
"0106 COVID-19 U07.1, U09.9",F,Mujeres,Total,12.99,
"0106 COVID-19 U07.1, U09.9",F,Mujeres,Ordinario,26.64,
"0106 COVID-19 U07.1, U09.9",F,Mujeres,Urgente,12.60,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),T,Ambos sexos,Total,12.45,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),T,Ambos sexos,Ordinario,17.88,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),T,Ambos sexos,Urgente,11.29,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),M,Hombres,Total,11.04,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),M,Hombres,Ordinario,13.07,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),M,Hombres,Urgente,10.57,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),F,Mujeres,Total,14.14,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),F,Mujeres,Ordinario,24.66,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),F,Mujeres,Urgente,12.12,
0200 Neoplasias C00-D49,T,Ambos sexos,Total,9.12,
0200 Neoplasias C00-D49,T,Ambos sexos,Ordinario,6.42,
0200 Neoplasias C00-D49,T,Ambos sexos,Urgente,13.34,
0200 Neoplasias C00-D49,M,Hombres,Total,10.01,
0200 Neoplasias C00-D49,M,Hombres,Ordinario,7.08,
0200 Neoplasias C00-D49,M,Hombres,Urgente,13.94,
0200 Neoplasias C00-D49,F,Mujeres,Total,8.28,
0200 Neoplasias C00-D49,F,Mujeres,Ordinario,5.86,
0200 Neoplasias C00-D49,F,Mujeres,Urgente,12.66,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",T,Ambos sexos,Total,12.56,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",T,Ambos sexos,Ordinario,10.68,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",T,Ambos sexos,Urgente,15.32,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",M,Hombres,Total,11.38,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",M,Hombres,Ordinario,8.90,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",M,Hombres,Urgente,15.41,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",F,Mujeres,Total,14.39,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",F,Mujeres,Ordinario,13.74,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",F,Mujeres,Urgente,15.20,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",T,Ambos sexos,Total,11.63,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",T,Ambos sexos,Ordinario,9.10,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",T,Ambos sexos,Urgente,13.03,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",M,Hombres,Total,11.71,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",M,Hombres,Ordinario,9.17,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",M,Hombres,Urgente,13.03,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",F,Mujeres,Total,11.48,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",F,Mujeres,Ordinario,8.98,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",F,Mujeres,Urgente,13.04,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,T,Ambos sexos,Total,2.78,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,T,Ambos sexos,Ordinario,3.00,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,T,Ambos sexos,Urgente,2.62,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,M,Hombres,Total,2.81,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,M,Hombres,Ordinario,2.71,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,M,Hombres,Urgente,2.88,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,F,Mujeres,Total,2.74,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,F,Mujeres,Ordinario,3.37,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,F,Mujeres,Urgente,2.30,
0204 Neoplasia maligna de la mama C50,T,Ambos sexos,Total,5.10,
0204 Neoplasia maligna de la mama C50,T,Ambos sexos,Ordinario,4.98,
0204 Neoplasia maligna de la mama C50,T,Ambos sexos,Urgente,5.58,
0204 Neoplasia maligna de la mama C50,M,Hombres,Total,2.22,
0204 Neoplasia maligna de la mama C50,M,Hombres,Ordinario,2.10,
0204 Neoplasia maligna de la mama C50,M,Hombres,Urgente,2.67,
0204 Neoplasia maligna de la mama C50,F,Mujeres,Total,5.14,
0204 Neoplasia maligna de la mama C50,F,Mujeres,Ordinario,5.02,
0204 Neoplasia maligna de la mama C50,F,Mujeres,Urgente,5.62,
0205 Neoplasia maligna del útero C53-C55,T,Ambos sexos,Total,5.07,
0205 Neoplasia maligna del útero C53-C55,T,Ambos sexos,Ordinario,3.60,
0205 Neoplasia maligna del útero C53-C55,T,Ambos sexos,Urgente,12.73,
0205 Neoplasia maligna del útero C53-C55,M,Hombres,Total,.,No procede / Categoría no aplicable
0205 Neoplasia maligna del útero C53-C55,M,Hombres,Ordinario,.,No procede / Categoría no aplicable
0205 Neoplasia maligna del útero C53-C55,M,Hombres,Urgente,.,No procede / Categoría no aplicable
0205 Neoplasia maligna del útero C53-C55,F,Mujeres,Total,5.07,
0205 Neoplasia maligna del útero C53-C55,F,Mujeres,Ordinario,3.60,
0205 Neoplasia maligna del útero C53-C55,F,Mujeres,Urgente,12.73,
0206 Neoplasia maligna del ovario C56,T,Ambos sexos,Total,7.92,
0206 Neoplasia maligna del ovario C56,T,Ambos sexos,Ordinario,6.24,
0206 Neoplasia maligna del ovario C56,T,Ambos sexos,Urgente,10.13,
0206 Neoplasia maligna del ovario C56,M,Hombres,Total,.,No procede / Categoría no aplicable
0206 Neoplasia maligna del ovario C56,M,Hombres,Ordinario,.,No procede / Categoría no aplicable
0206 Neoplasia maligna del ovario C56,M,Hombres,Urgente,.,No procede / Categoría no aplicable
0206 Neoplasia maligna del ovario C56,F,Mujeres,Total,7.92,
0206 Neoplasia maligna del ovario C56,F,Mujeres,Ordinario,6.24,
0206 Neoplasia maligna del ovario C56,F,Mujeres,Urgente,10.13,
0207 Neoplasia maligna de la próstata C61,T,Ambos sexos,Total,4.31,
0207 Neoplasia maligna de la próstata C61,T,Ambos sexos,Ordinario,3.15,
0207 Neoplasia maligna de la próstata C61,T,Ambos sexos,Urgente,10.40,
0207 Neoplasia maligna de la próstata C61,M,Hombres,Total,4.31,
0207 Neoplasia maligna de la próstata C61,M,Hombres,Ordinario,3.15,
0207 Neoplasia maligna de la próstata C61,M,Hombres,Urgente,10.40,
0207 Neoplasia maligna de la próstata C61,F,Mujeres,Total,.,No procede / Categoría no aplicable
0207 Neoplasia maligna de la próstata C61,F,Mujeres,Ordinario,.,No procede / Categoría no aplicable
0207 Neoplasia maligna de la próstata C61,F,Mujeres,Urgente,.,No procede / Categoría no aplicable
0208 Neoplasia maligna de la vejiga C67,T,Ambos sexos,Total,6.57,
0208 Neoplasia maligna de la vejiga C67,T,Ambos sexos,Ordinario,4.60,
0208 Neoplasia maligna de la vejiga C67,T,Ambos sexos,Urgente,12.09,
0208 Neoplasia maligna de la vejiga C67,M,Hombres,Total,6.51,
0208 Neoplasia maligna de la vejiga C67,M,Hombres,Ordinario,4.81,
0208 Neoplasia maligna de la vejiga C67,M,Hombres,Urgente,11.47,
0208 Neoplasia maligna de la vejiga C67,F,Mujeres,Total,6.78,
0208 Neoplasia maligna de la vejiga C67,F,Mujeres,Ordinario,3.77,
0208 Neoplasia maligna de la vejiga C67,F,Mujeres,Urgente,14.11,
0209 Otras Neoplasias malignas Resto de (C00-C96),T,Ambos sexos,Total,13.11,
0209 Otras Neoplasias malignas Resto de (C00-C96),T,Ambos sexos,Ordinario,9.74,
0209 Otras Neoplasias malignas Resto de (C00-C96),T,Ambos sexos,Urgente,16.40,
0209 Otras Neoplasias malignas Resto de (C00-C96),M,Hombres,Total,13.57,
0209 Otras Neoplasias malignas Resto de (C00-C96),M,Hombres,Ordinario,10.52,
0209 Otras Neoplasias malignas Resto de (C00-C96),M,Hombres,Urgente,16.40,
0209 Otras Neoplasias malignas Resto de (C00-C96),F,Mujeres,Total,12.54,
0209 Otras Neoplasias malignas Resto de (C00-C96),F,Mujeres,Ordinario,8.82,
0209 Otras Neoplasias malignas Resto de (C00-C96),F,Mujeres,Urgente,16.41,
0210 Carcinoma in situ D00-D09,T,Ambos sexos,Total,4.21,
0210 Carcinoma in situ D00-D09,T,Ambos sexos,Ordinario,3.70,
0210 Carcinoma in situ D00-D09,T,Ambos sexos,Urgente,7.00,
0210 Carcinoma in situ D00-D09,M,Hombres,Total,5.30,
0210 Carcinoma in situ D00-D09,M,Hombres,Ordinario,3.99,
0210 Carcinoma in situ D00-D09,M,Hombres,Urgente,13.16,
0210 Carcinoma in situ D00-D09,F,Mujeres,Total,3.32,
0210 Carcinoma in situ D00-D09,F,Mujeres,Ordinario,3.46,
0210 Carcinoma in situ D00-D09,F,Mujeres,Urgente,2.61,
"0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12",T,Ambos sexos,Total,7.03,
"0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12",T,Ambos sexos,Ordinario,5.40,
"0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12",T,Ambos sexos,Urgente,10.91,
"0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12",M,Hombres,Total,6.54,
"0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12",M,Hombres,Ordinario,5.55,
"0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12",M,Hombres,Urgente,8.63,
"0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12",F,Mujeres,Total,7.77,
"0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12",F,Mujeres,Ordinario,5.21,
"0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12",F,Mujeres,Urgente,15.18,
0212 Leiomioma uterino D25,T,Ambos sexos,Total,3.10,
0212 Leiomioma uterino D25,T,Ambos sexos,Ordinario,3.10,
0212 Leiomioma uterino D25,T,Ambos sexos,Urgente,3.09,
0212 Leiomioma uterino D25,M,Hombres,Total,.,No procede / Categoría no aplicable
0212 Leiomioma uterino D25,M,Hombres,Ordinario,.,No procede / Categoría no aplicable
0212 Leiomioma uterino D25,M,Hombres,Urgente,.,No procede / Categoría no aplicable
0212 Leiomioma uterino D25,F,Mujeres,Total,3.10,
0212 Leiomioma uterino D25,F,Mujeres,Ordinario,3.10,
0212 Leiomioma uterino D25,F,Mujeres,Urgente,3.09,
0213 Otras Neoplasias benignas y Neoplasias de comportamiento incierto o desconocido Resto de (D00-D49),T,Ambos sexos,Total,5.95,
0213 Otras Neoplasias benignas y Neoplasias de comportamiento incierto o desconocido Resto de (D00-D49),T,Ambos sexos,Ordinario,3.84,
0213 Otras Neoplasias benignas y Neoplasias de comportamiento incierto o desconocido Resto de (D00-D49),T,Ambos sexos,Urgente,10.65,
0213 Otras Neoplasias benignas y Neoplasias de comportamiento incierto o desconocido Resto de (D00-D49),M,Hombres,Total,6.42,
0213 Otras Neoplasias benignas y Neoplasias de comportamiento incierto o desconocido Resto de (D00-D49),M,Hombres,Ordinario,4.18,
0213 Otras Neoplasias benignas y Neoplasias de comportamiento incierto o desconocido Resto de (D00-D49),M,Hombres,Urgente,10.62,
0213 Otras Neoplasias benignas y Neoplasias de comportamiento incierto o desconocido Resto de (D00-D49),F,Mujeres,Total,5.64,
0213 Otras Neoplasias benignas y Neoplasias de comportamiento incierto o desconocido Resto de (D00-D49),F,Mujeres,Ordinario,3.63,
0213 Otras Neoplasias benignas y Neoplasias de comportamiento incierto o desconocido Resto de (D00-D49),F,Mujeres,Urgente,10.67,
"0300 Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D50-D89",T,Ambos sexos,Total,11.06,
"0300 Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D50-D89",T,Ambos sexos,Ordinario,19.06,
"0300 Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D50-D89",T,Ambos sexos,Urgente,9.66,
"0300 Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D50-D89",M,Hombres,Total,11.17,
"0300 Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D50-D89",M,Hombres,Ordinario,13.52,
"0300 Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D50-D89",M,Hombres,Urgente,10.81,
"0300 Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D50-D89",F,Mujeres,Total,10.95,
"0300 Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D50-D89",F,Mujeres,Ordinario,23.32,
"0300 Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D50-D89",F,Mujeres,Urgente,8.57,
0301 Anemias D50-D64,T,Ambos sexos,Total,11.85,
0301 Anemias D50-D64,T,Ambos sexos,Ordinario,23.12,
0301 Anemias D50-D64,T,Ambos sexos,Urgente,9.79,
0301 Anemias D50-D64,M,Hombres,Total,11.41,
0301 Anemias D50-D64,M,Hombres,Ordinario,14.35,
0301 Anemias D50-D64,M,Hombres,Urgente,11.02,
0301 Anemias D50-D64,F,Mujeres,Total,12.24,
0301 Anemias D50-D64,F,Mujeres,Ordinario,28.10,
0301 Anemias D50-D64,F,Mujeres,Urgente,8.57,
"0302 Otras Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D65-D89",T,Ambos sexos,Total,10.04,
"0302 Otras Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D65-D89",T,Ambos sexos,Ordinario,13.34,
"0302 Otras Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D65-D89",T,Ambos sexos,Urgente,9.50,
"0302 Otras Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D65-D89",M,Hombres,Total,10.86,
"0302 Otras Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D65-D89",M,Hombres,Ordinario,12.72,
"0302 Otras Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D65-D89",M,Hombres,Urgente,10.52,
"0302 Otras Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D65-D89",F,Mujeres,Total,9.26,
"0302 Otras Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D65-D89",F,Mujeres,Ordinario,14.06,
"0302 Otras Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D65-D89",F,Mujeres,Urgente,8.57,
"0400 Enfermedades endocrinas, nutricionales y metabólicas E00-E89",T,Ambos sexos,Total,12.24,
"0400 Enfermedades endocrinas, nutricionales y metabólicas E00-E89",T,Ambos sexos,Ordinario,10.75,
"0400 Enfermedades endocrinas, nutricionales y metabólicas E00-E89",T,Ambos sexos,Urgente,13.30,
"0400 Enfermedades endocrinas, nutricionales y metabólicas E00-E89",M,Hombres,Total,14.28,
"0400 Enfermedades endocrinas, nutricionales y metabólicas E00-E89",M,Hombres,Ordinario,11.78,
"0400 Enfermedades endocrinas, nutricionales y metabólicas E00-E89",M,Hombres,Urgente,15.49,
"0400 Enfermedades endocrinas, nutricionales y metabólicas E00-E89",F,Mujeres,Total,10.59,
"0400 Enfermedades endocrinas, nutricionales y metabólicas E00-E89",F,Mujeres,Ordinario,10.20,
"0400 Enfermedades endocrinas, nutricionales y metabólicas E00-E89",F,Mujeres,Urgente,10.97,
0401 Diabetes mellitus E08-E13,T,Ambos sexos,Total,18.23,
0401 Diabetes mellitus E08-E13,T,Ambos sexos,Ordinario,23.02,
0401 Diabetes mellitus E08-E13,T,Ambos sexos,Urgente,16.76,
0401 Diabetes mellitus E08-E13,M,Hombres,Total,17.21,
0401 Diabetes mellitus E08-E13,M,Hombres,Ordinario,13.51,
0401 Diabetes mellitus E08-E13,M,Hombres,Urgente,18.44,
0401 Diabetes mellitus E08-E13,F,Mujeres,Total,20.16,
0401 Diabetes mellitus E08-E13,F,Mujeres,Ordinario,45.08,
0401 Diabetes mellitus E08-E13,F,Mujeres,Urgente,13.77,
"0402 Otras Enfermedades endocrinas, nutricionales y metabólicas Resto de (E00-E89)",T,Ambos sexos,Total,8.52,
"0402 Otras Enfermedades endocrinas, nutricionales y metabólicas Resto de (E00-E89)",T,Ambos sexos,Ordinario,7.40,
"0402 Otras Enfermedades endocrinas, nutricionales y metabólicas Resto de (E00-E89)",T,Ambos sexos,Urgente,9.79,
"0402 Otras Enfermedades endocrinas, nutricionales y metabólicas Resto de (E00-E89)",M,Hombres,Total,10.51,
"0402 Otras Enfermedades endocrinas, nutricionales y metabólicas Resto de (E00-E89)",M,Hombres,Ordinario,10.47,
"0402 Otras Enfermedades endocrinas, nutricionales y metabólicas Resto de (E00-E89)",M,Hombres,Urgente,10.54,
"0402 Otras Enfermedades endocrinas, nutricionales y metabólicas Resto de (E00-E89)",F,Mujeres,Total,7.59,
"0402 Otras Enfermedades endocrinas, nutricionales y metabólicas Resto de (E00-E89)",F,Mujeres,Ordinario,6.35,
"0402 Otras Enfermedades endocrinas, nutricionales y metabólicas Resto de (E00-E89)",F,Mujeres,Urgente,9.31,
0500 Trastornos mentales y de comportamiento F01-F99,T,Ambos sexos,Total,55.06,
0500 Trastornos mentales y de comportamiento F01-F99,T,Ambos sexos,Ordinario,145.50,
0500 Trastornos mentales y de comportamiento F01-F99,T,Ambos sexos,Urgente,33.48,
0500 Trastornos mentales y de comportamiento F01-F99,M,Hombres,Total,54.60,
0500 Trastornos mentales y de comportamiento F01-F99,M,Hombres,Ordinario,95.80,
0500 Trastornos mentales y de comportamiento F01-F99,M,Hombres,Urgente,41.47,
0500 Trastornos mentales y de comportamiento F01-F99,F,Mujeres,Total,55.64,
0500 Trastornos mentales y de comportamiento F01-F99,F,Mujeres,Ordinario,259.41,
0500 Trastornos mentales y de comportamiento F01-F99,F,Mujeres,Urgente,24.78,
0501 Demencia F01-F03,T,Ambos sexos,Total,174.81,
0501 Demencia F01-F03,T,Ambos sexos,Ordinario,498.89,
0501 Demencia F01-F03,T,Ambos sexos,Urgente,64.39,
0501 Demencia F01-F03,M,Hombres,Total,241.50,
0501 Demencia F01-F03,M,Hombres,Ordinario,732.53,
0501 Demencia F01-F03,M,Hombres,Urgente,77.39,
0501 Demencia F01-F03,F,Mujeres,Total,112.73,
0501 Demencia F01-F03,F,Mujeres,Ordinario,287.35,
0501 Demencia F01-F03,F,Mujeres,Urgente,52.18,
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10,T,Ambos sexos,Total,20.68,
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10,T,Ambos sexos,Ordinario,13.32,
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10,T,Ambos sexos,Urgente,28.93,
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10,M,Hombres,Total,20.31,
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10,M,Hombres,Ordinario,14.71,
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10,M,Hombres,Urgente,26.08,
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10,F,Mujeres,Total,22.31,
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10,F,Mujeres,Ordinario,8.31,
0502 Trastornos mentales y del comportamiento debidos al uso de alcohol F10,F,Mujeres,Urgente,45.35,
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19,T,Ambos sexos,Total,12.61,
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19,T,Ambos sexos,Ordinario,9.72,
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19,T,Ambos sexos,Urgente,16.91,
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19,M,Hombres,Total,11.76,
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19,M,Hombres,Ordinario,7.35,
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19,M,Hombres,Urgente,18.70,
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19,F,Mujeres,Total,15.56,
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19,F,Mujeres,Ordinario,18.80,
0503 Trastornos mentales y del comportamiento debidos al uso de otras sustancias psicoactivas F11-F19,F,Mujeres,Urgente,11.53,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",T,Ambos sexos,Total,99.70,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",T,Ambos sexos,Ordinario,808.35,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",T,Ambos sexos,Urgente,52.83,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",M,Hombres,Total,100.45,
