diagnosticos_principales,sexos_id,sexos_nombre,intervalos_estancia,estancia_media_residentes_canarias_dados_alta_cualquier_hospital_nacional,notas_observacion
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",F,Mujeres,Más de 6 meses a 1 año,252.97,
"0100 Ciertas enfermedades infecciosas y parasitarias A00-B99, U07.1",F,Mujeres,Superior a 1 año,1705.17,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",T,Ambos sexos,Total,11.23,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",T,Ambos sexos,De 1 a 30 días,8.87,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",T,Ambos sexos,De 31 días a 6 meses,48.98,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",T,Ambos sexos,Más de 6 meses a 1 año,0.00,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",T,Ambos sexos,Superior a 1 año,0.00,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",M,Hombres,Total,9.38,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",M,Hombres,De 1 a 30 días,8.07,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",M,Hombres,De 31 días a 6 meses,37.42,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",M,Hombres,Más de 6 meses a 1 año,0.00,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",M,Hombres,Superior a 1 año,0.00,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",F,Mujeres,Total,13.26,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",F,Mujeres,De 1 a 30 días,9.78,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",F,Mujeres,De 31 días a 6 meses,56.69,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",F,Mujeres,Más de 6 meses a 1 año,0.00,
"0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08",F,Mujeres,Superior a 1 año,0.00,
0102 Gastroenteritis y colitis infecciosas A09,T,Ambos sexos,Total,9.18,
0102 Gastroenteritis y colitis infecciosas A09,T,Ambos sexos,De 1 a 30 días,6.12,
0102 Gastroenteritis y colitis infecciosas A09,T,Ambos sexos,De 31 días a 6 meses,53.46,
0102 Gastroenteritis y colitis infecciosas A09,T,Ambos sexos,Más de 6 meses a 1 año,249.50,
0102 Gastroenteritis y colitis infecciosas A09,T,Ambos sexos,Superior a 1 año,0.00,
0102 Gastroenteritis y colitis infecciosas A09,M,Hombres,Total,6.25,
0102 Gastroenteritis y colitis infecciosas A09,M,Hombres,De 1 a 30 días,4.77,
0102 Gastroenteritis y colitis infecciosas A09,M,Hombres,De 31 días a 6 meses,45.67,
0102 Gastroenteritis y colitis infecciosas A09,M,Hombres,Más de 6 meses a 1 año,0.00,
0102 Gastroenteritis y colitis infecciosas A09,M,Hombres,Superior a 1 año,0.00,
0102 Gastroenteritis y colitis infecciosas A09,F,Mujeres,Total,11.94,
0102 Gastroenteritis y colitis infecciosas A09,F,Mujeres,De 1 a 30 días,7.40,
0102 Gastroenteritis y colitis infecciosas A09,F,Mujeres,De 31 días a 6 meses,61.24,
0102 Gastroenteritis y colitis infecciosas A09,F,Mujeres,Más de 6 meses a 1 año,249.50,
0102 Gastroenteritis y colitis infecciosas A09,F,Mujeres,Superior a 1 año,0.00,
"0103 Tuberculosis A15-A19, B90",T,Ambos sexos,Total,18.73,
"0103 Tuberculosis A15-A19, B90",T,Ambos sexos,De 1 a 30 días,10.05,
"0103 Tuberculosis A15-A19, B90",T,Ambos sexos,De 31 días a 6 meses,55.82,
"0103 Tuberculosis A15-A19, B90",T,Ambos sexos,Más de 6 meses a 1 año,192.00,
"0103 Tuberculosis A15-A19, B90",T,Ambos sexos,Superior a 1 año,0.00,
"0103 Tuberculosis A15-A19, B90",M,Hombres,Total,19.45,
"0103 Tuberculosis A15-A19, B90",M,Hombres,De 1 a 30 días,9.51,
"0103 Tuberculosis A15-A19, B90",M,Hombres,De 31 días a 6 meses,62.68,
"0103 Tuberculosis A15-A19, B90",M,Hombres,Más de 6 meses a 1 año,192.00,
"0103 Tuberculosis A15-A19, B90",M,Hombres,Superior a 1 año,0.00,
"0103 Tuberculosis A15-A19, B90",F,Mujeres,Total,16.92,
"0103 Tuberculosis A15-A19, B90",F,Mujeres,De 1 a 30 días,11.45,
"0103 Tuberculosis A15-A19, B90",F,Mujeres,De 31 días a 6 meses,44.33,
"0103 Tuberculosis A15-A19, B90",F,Mujeres,Más de 6 meses a 1 año,0.00,
"0103 Tuberculosis A15-A19, B90",F,Mujeres,Superior a 1 año,0.00,
0104 Septicemia A40-A41,T,Ambos sexos,Total,28.82,
0104 Septicemia A40-A41,T,Ambos sexos,De 1 a 30 días,11.52,
0104 Septicemia A40-A41,T,Ambos sexos,De 31 días a 6 meses,58.16,
0104 Septicemia A40-A41,T,Ambos sexos,Más de 6 meses a 1 año,237.61,
0104 Septicemia A40-A41,T,Ambos sexos,Superior a 1 año,2271.98,
0104 Septicemia A40-A41,M,Hombres,Total,29.07,
0104 Septicemia A40-A41,M,Hombres,De 1 a 30 días,11.75,
0104 Septicemia A40-A41,M,Hombres,De 31 días a 6 meses,58.12,
0104 Septicemia A40-A41,M,Hombres,Más de 6 meses a 1 año,232.25,
0104 Septicemia A40-A41,M,Hombres,Superior a 1 año,1927.14,
0104 Septicemia A40-A41,F,Mujeres,Total,28.55,
0104 Septicemia A40-A41,F,Mujeres,De 1 a 30 días,11.28,
0104 Septicemia A40-A41,F,Mujeres,De 31 días a 6 meses,58.20,
0104 Septicemia A40-A41,F,Mujeres,Más de 6 meses a 1 año,245.75,
0104 Septicemia A40-A41,F,Mujeres,Superior a 1 año,2855.67,
0105 Infección del virus de la inmunodeficiencia humana B20,T,Ambos sexos,Total,20.18,
0105 Infección del virus de la inmunodeficiencia humana B20,T,Ambos sexos,De 1 a 30 días,13.61,
0105 Infección del virus de la inmunodeficiencia humana B20,T,Ambos sexos,De 31 días a 6 meses,58.04,
0105 Infección del virus de la inmunodeficiencia humana B20,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0105 Infección del virus de la inmunodeficiencia humana B20,T,Ambos sexos,Superior a 1 año,0.00,
0105 Infección del virus de la inmunodeficiencia humana B20,M,Hombres,Total,21.27,
0105 Infección del virus de la inmunodeficiencia humana B20,M,Hombres,De 1 a 30 días,13.33,
0105 Infección del virus de la inmunodeficiencia humana B20,M,Hombres,De 31 días a 6 meses,58.04,
0105 Infección del virus de la inmunodeficiencia humana B20,M,Hombres,Más de 6 meses a 1 año,0.00,
0105 Infección del virus de la inmunodeficiencia humana B20,M,Hombres,Superior a 1 año,0.00,
0105 Infección del virus de la inmunodeficiencia humana B20,F,Mujeres,Total,14.75,
0105 Infección del virus de la inmunodeficiencia humana B20,F,Mujeres,De 1 a 30 días,14.75,
0105 Infección del virus de la inmunodeficiencia humana B20,F,Mujeres,De 31 días a 6 meses,0.00,
0105 Infección del virus de la inmunodeficiencia humana B20,F,Mujeres,Más de 6 meses a 1 año,0.00,
0105 Infección del virus de la inmunodeficiencia humana B20,F,Mujeres,Superior a 1 año,0.00,
"0106 COVID-19 U07.1, U09.9",T,Ambos sexos,Total,14.24,
"0106 COVID-19 U07.1, U09.9",T,Ambos sexos,De 1 a 30 días,9.42,
"0106 COVID-19 U07.1, U09.9",T,Ambos sexos,De 31 días a 6 meses,59.23,
"0106 COVID-19 U07.1, U09.9",T,Ambos sexos,Más de 6 meses a 1 año,233.50,
"0106 COVID-19 U07.1, U09.9",T,Ambos sexos,Superior a 1 año,498.83,
"0106 COVID-19 U07.1, U09.9",M,Hombres,Total,15.12,
"0106 COVID-19 U07.1, U09.9",M,Hombres,De 1 a 30 días,9.58,
"0106 COVID-19 U07.1, U09.9",M,Hombres,De 31 días a 6 meses,59.21,
"0106 COVID-19 U07.1, U09.9",M,Hombres,Más de 6 meses a 1 año,205.40,
"0106 COVID-19 U07.1, U09.9",M,Hombres,Superior a 1 año,469.75,
"0106 COVID-19 U07.1, U09.9",F,Mujeres,Total,13.25,
"0106 COVID-19 U07.1, U09.9",F,Mujeres,De 1 a 30 días,9.24,
"0106 COVID-19 U07.1, U09.9",F,Mujeres,De 31 días a 6 meses,59.26,
"0106 COVID-19 U07.1, U09.9",F,Mujeres,Más de 6 meses a 1 año,280.33,
"0106 COVID-19 U07.1, U09.9",F,Mujeres,Superior a 1 año,557.00,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),T,Ambos sexos,Total,13.08,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),T,Ambos sexos,De 1 a 30 días,8.28,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),T,Ambos sexos,De 31 días a 6 meses,53.95,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),T,Ambos sexos,Más de 6 meses a 1 año,259.09,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),T,Ambos sexos,Superior a 1 año,550.00,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),M,Hombres,Total,11.56,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),M,Hombres,De 1 a 30 días,8.00,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),M,Hombres,De 31 días a 6 meses,59.05,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),M,Hombres,Más de 6 meses a 1 año,312.00,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),M,Hombres,Superior a 1 año,0.00,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),F,Mujeres,Total,14.85,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),F,Mujeres,De 1 a 30 días,8.62,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),F,Mujeres,De 31 días a 6 meses,50.64,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),F,Mujeres,Más de 6 meses a 1 año,210.00,
0107 Otras enfermedades infecciosas y parasitarias Resto de (A00-B99),F,Mujeres,Superior a 1 año,550.00,
0200 Neoplasias C00-D49,T,Ambos sexos,Total,9.11,
0200 Neoplasias C00-D49,T,Ambos sexos,De 1 a 30 días,6.31,
0200 Neoplasias C00-D49,T,Ambos sexos,De 31 días a 6 meses,50.74,
0200 Neoplasias C00-D49,T,Ambos sexos,Más de 6 meses a 1 año,288.44,
0200 Neoplasias C00-D49,T,Ambos sexos,Superior a 1 año,665.18,
0200 Neoplasias C00-D49,M,Hombres,Total,10.02,
0200 Neoplasias C00-D49,M,Hombres,De 1 a 30 días,7.15,
0200 Neoplasias C00-D49,M,Hombres,De 31 días a 6 meses,51.65,
0200 Neoplasias C00-D49,M,Hombres,Más de 6 meses a 1 año,248.20,
0200 Neoplasias C00-D49,M,Hombres,Superior a 1 año,469.00,
0200 Neoplasias C00-D49,F,Mujeres,Total,8.25,
0200 Neoplasias C00-D49,F,Mujeres,De 1 a 30 días,5.53,
0200 Neoplasias C00-D49,F,Mujeres,De 31 días a 6 meses,49.52,
0200 Neoplasias C00-D49,F,Mujeres,Más de 6 meses a 1 año,323.50,
0200 Neoplasias C00-D49,F,Mujeres,Superior a 1 año,693.13,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",T,Ambos sexos,Total,12.49,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",T,Ambos sexos,De 1 a 30 días,8.92,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",T,Ambos sexos,De 31 días a 6 meses,52.24,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",T,Ambos sexos,Más de 6 meses a 1 año,317.73,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",T,Ambos sexos,Superior a 1 año,497.00,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",M,Hombres,Total,11.30,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",M,Hombres,De 1 a 30 días,8.98,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",M,Hombres,De 31 días a 6 meses,53.97,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",M,Hombres,Más de 6 meses a 1 año,0.00,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",M,Hombres,Superior a 1 año,0.00,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",F,Mujeres,Total,14.32,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",F,Mujeres,De 1 a 30 días,8.83,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",F,Mujeres,De 31 días a 6 meses,50.08,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",F,Mujeres,Más de 6 meses a 1 año,317.73,
"0201 Neoplasias malignas de colon, recto y ano C18-C21",F,Mujeres,Superior a 1 año,497.00,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",T,Ambos sexos,Total,11.59,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",T,Ambos sexos,De 1 a 30 días,9.24,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",T,Ambos sexos,De 31 días a 6 meses,47.47,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",T,Ambos sexos,Más de 6 meses a 1 año,210.00,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",T,Ambos sexos,Superior a 1 año,0.00,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",M,Hombres,Total,11.58,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",M,Hombres,De 1 a 30 días,9.28,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",M,Hombres,De 31 días a 6 meses,44.24,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",M,Hombres,Más de 6 meses a 1 año,210.00,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",M,Hombres,Superior a 1 año,0.00,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",F,Mujeres,Total,11.61,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",F,Mujeres,De 1 a 30 días,9.15,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",F,Mujeres,De 31 días a 6 meses,53.93,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",F,Mujeres,Más de 6 meses a 1 año,0.00,
"0202 Neoplasias malignas de tráquea, bronquios y pulmón C33-C34",F,Mujeres,Superior a 1 año,0.00,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,T,Ambos sexos,Total,2.79,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,T,Ambos sexos,De 1 a 30 días,2.18,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,T,Ambos sexos,De 31 días a 6 meses,62.15,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,T,Ambos sexos,Superior a 1 año,0.00,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,M,Hombres,Total,2.82,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,M,Hombres,De 1 a 30 días,2.14,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,M,Hombres,De 31 días a 6 meses,93.56,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,M,Hombres,Más de 6 meses a 1 año,0.00,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,M,Hombres,Superior a 1 año,0.00,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,F,Mujeres,Total,2.77,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,F,Mujeres,De 1 a 30 días,2.23,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,F,Mujeres,De 31 días a 6 meses,41.67,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,F,Mujeres,Más de 6 meses a 1 año,0.00,
0203 Melanoma y otras Neoplasias malignas de la piel C43-C44,F,Mujeres,Superior a 1 año,0.00,
0204 Neoplasia maligna de la mama C50,T,Ambos sexos,Total,5.08,
0204 Neoplasia maligna de la mama C50,T,Ambos sexos,De 1 a 30 días,3.17,
0204 Neoplasia maligna de la mama C50,T,Ambos sexos,De 31 días a 6 meses,42.11,
0204 Neoplasia maligna de la mama C50,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0204 Neoplasia maligna de la mama C50,T,Ambos sexos,Superior a 1 año,1644.00,
0204 Neoplasia maligna de la mama C50,M,Hombres,Total,2.22,
0204 Neoplasia maligna de la mama C50,M,Hombres,De 1 a 30 días,2.22,
0204 Neoplasia maligna de la mama C50,M,Hombres,De 31 días a 6 meses,0.00,
0204 Neoplasia maligna de la mama C50,M,Hombres,Más de 6 meses a 1 año,0.00,
0204 Neoplasia maligna de la mama C50,M,Hombres,Superior a 1 año,0.00,
0204 Neoplasia maligna de la mama C50,F,Mujeres,Total,5.12,
0204 Neoplasia maligna de la mama C50,F,Mujeres,De 1 a 30 días,3.18,
0204 Neoplasia maligna de la mama C50,F,Mujeres,De 31 días a 6 meses,42.11,
0204 Neoplasia maligna de la mama C50,F,Mujeres,Más de 6 meses a 1 año,0.00,
0204 Neoplasia maligna de la mama C50,F,Mujeres,Superior a 1 año,1644.00,
0205 Neoplasia maligna del útero C53-C55,T,Ambos sexos,Total,5.07,
0205 Neoplasia maligna del útero C53-C55,T,Ambos sexos,De 1 a 30 días,4.10,
0205 Neoplasia maligna del útero C53-C55,T,Ambos sexos,De 31 días a 6 meses,48.75,
0205 Neoplasia maligna del útero C53-C55,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0205 Neoplasia maligna del útero C53-C55,T,Ambos sexos,Superior a 1 año,377.00,
0205 Neoplasia maligna del útero C53-C55,M,Hombres,Total,.,No procede / Categoría no aplicable
0205 Neoplasia maligna del útero C53-C55,M,Hombres,De 1 a 30 días,.,No procede / Categoría no aplicable
0205 Neoplasia maligna del útero C53-C55,M,Hombres,De 31 días a 6 meses,.,No procede / Categoría no aplicable
0205 Neoplasia maligna del útero C53-C55,M,Hombres,Más de 6 meses a 1 año,.,No procede / Categoría no aplicable
0205 Neoplasia maligna del útero C53-C55,M,Hombres,Superior a 1 año,.,No procede / Categoría no aplicable
0205 Neoplasia maligna del útero C53-C55,F,Mujeres,Total,5.07,
0205 Neoplasia maligna del útero C53-C55,F,Mujeres,De 1 a 30 días,4.10,
0205 Neoplasia maligna del útero C53-C55,F,Mujeres,De 31 días a 6 meses,48.75,
0205 Neoplasia maligna del útero C53-C55,F,Mujeres,Más de 6 meses a 1 año,0.00,
0205 Neoplasia maligna del útero C53-C55,F,Mujeres,Superior a 1 año,377.00,
0206 Neoplasia maligna del ovario C56,T,Ambos sexos,Total,7.76,
0206 Neoplasia maligna del ovario C56,T,Ambos sexos,De 1 a 30 días,6.59,
0206 Neoplasia maligna del ovario C56,T,Ambos sexos,De 31 días a 6 meses,47.33,
0206 Neoplasia maligna del ovario C56,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0206 Neoplasia maligna del ovario C56,T,Ambos sexos,Superior a 1 año,0.00,
0206 Neoplasia maligna del ovario C56,M,Hombres,Total,.,No procede / Categoría no aplicable
0206 Neoplasia maligna del ovario C56,M,Hombres,De 1 a 30 días,.,No procede / Categoría no aplicable
0206 Neoplasia maligna del ovario C56,M,Hombres,De 31 días a 6 meses,.,No procede / Categoría no aplicable
0206 Neoplasia maligna del ovario C56,M,Hombres,Más de 6 meses a 1 año,.,No procede / Categoría no aplicable
0206 Neoplasia maligna del ovario C56,M,Hombres,Superior a 1 año,.,No procede / Categoría no aplicable
0206 Neoplasia maligna del ovario C56,F,Mujeres,Total,7.76,
0206 Neoplasia maligna del ovario C56,F,Mujeres,De 1 a 30 días,6.59,
0206 Neoplasia maligna del ovario C56,F,Mujeres,De 31 días a 6 meses,47.33,
0206 Neoplasia maligna del ovario C56,F,Mujeres,Más de 6 meses a 1 año,0.00,
0206 Neoplasia maligna del ovario C56,F,Mujeres,Superior a 1 año,0.00,
0207 Neoplasia maligna de la próstata C61,T,Ambos sexos,Total,4.32,
0207 Neoplasia maligna de la próstata C61,T,Ambos sexos,De 1 a 30 días,3.83,
0207 Neoplasia maligna de la próstata C61,T,Ambos sexos,De 31 días a 6 meses,56.31,
0207 Neoplasia maligna de la próstata C61,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0207 Neoplasia maligna de la próstata C61,T,Ambos sexos,Superior a 1 año,0.00,
0207 Neoplasia maligna de la próstata C61,M,Hombres,Total,4.32,
0207 Neoplasia maligna de la próstata C61,M,Hombres,De 1 a 30 días,3.83,
0207 Neoplasia maligna de la próstata C61,M,Hombres,De 31 días a 6 meses,56.31,
0207 Neoplasia maligna de la próstata C61,M,Hombres,Más de 6 meses a 1 año,0.00,
0207 Neoplasia maligna de la próstata C61,M,Hombres,Superior a 1 año,0.00,
0207 Neoplasia maligna de la próstata C61,F,Mujeres,Total,.,No procede / Categoría no aplicable
0207 Neoplasia maligna de la próstata C61,F,Mujeres,De 1 a 30 días,.,No procede / Categoría no aplicable
0207 Neoplasia maligna de la próstata C61,F,Mujeres,De 31 días a 6 meses,.,No procede / Categoría no aplicable
0207 Neoplasia maligna de la próstata C61,F,Mujeres,Más de 6 meses a 1 año,.,No procede / Categoría no aplicable
0207 Neoplasia maligna de la próstata C61,F,Mujeres,Superior a 1 año,.,No procede / Categoría no aplicable
0208 Neoplasia maligna de la vejiga C67,T,Ambos sexos,Total,6.50,
0208 Neoplasia maligna de la vejiga C67,T,Ambos sexos,De 1 a 30 días,4.65,
0208 Neoplasia maligna de la vejiga C67,T,Ambos sexos,De 31 días a 6 meses,52.61,
0208 Neoplasia maligna de la vejiga C67,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0208 Neoplasia maligna de la vejiga C67,T,Ambos sexos,Superior a 1 año,0.00,
0208 Neoplasia maligna de la vejiga C67,M,Hombres,Total,6.40,
0208 Neoplasia maligna de la vejiga C67,M,Hombres,De 1 a 30 días,4.84,
0208 Neoplasia maligna de la vejiga C67,M,Hombres,De 31 días a 6 meses,52.27,
0208 Neoplasia maligna de la vejiga C67,M,Hombres,Más de 6 meses a 1 año,0.00,
0208 Neoplasia maligna de la vejiga C67,M,Hombres,Superior a 1 año,0.00,
0208 Neoplasia maligna de la vejiga C67,F,Mujeres,Total,6.84,
0208 Neoplasia maligna de la vejiga C67,F,Mujeres,De 1 a 30 días,3.93,
0208 Neoplasia maligna de la vejiga C67,F,Mujeres,De 31 días a 6 meses,53.27,
0208 Neoplasia maligna de la vejiga C67,F,Mujeres,Más de 6 meses a 1 año,0.00,
0208 Neoplasia maligna de la vejiga C67,F,Mujeres,Superior a 1 año,0.00,
0209 Otras Neoplasias malignas Resto de (C00-C96),T,Ambos sexos,Total,13.14,
0209 Otras Neoplasias malignas Resto de (C00-C96),T,Ambos sexos,De 1 a 30 días,8.69,
0209 Otras Neoplasias malignas Resto de (C00-C96),T,Ambos sexos,De 31 días a 6 meses,50.79,
0209 Otras Neoplasias malignas Resto de (C00-C96),T,Ambos sexos,Más de 6 meses a 1 año,244.69,
0209 Otras Neoplasias malignas Resto de (C00-C96),T,Ambos sexos,Superior a 1 año,578.00,
0209 Otras Neoplasias malignas Resto de (C00-C96),M,Hombres,Total,13.68,
0209 Otras Neoplasias malignas Resto de (C00-C96),M,Hombres,De 1 a 30 días,9.14,
0209 Otras Neoplasias malignas Resto de (C00-C96),M,Hombres,De 31 días a 6 meses,52.20,
0209 Otras Neoplasias malignas Resto de (C00-C96),M,Hombres,Más de 6 meses a 1 año,238.32,
0209 Otras Neoplasias malignas Resto de (C00-C96),M,Hombres,Superior a 1 año,469.00,
0209 Otras Neoplasias malignas Resto de (C00-C96),F,Mujeres,Total,12.47,
0209 Otras Neoplasias malignas Resto de (C00-C96),F,Mujeres,De 1 a 30 días,8.12,
0209 Otras Neoplasias malignas Resto de (C00-C96),F,Mujeres,De 31 días a 6 meses,48.77,
0209 Otras Neoplasias malignas Resto de (C00-C96),F,Mujeres,Más de 6 meses a 1 año,257.50,
0209 Otras Neoplasias malignas Resto de (C00-C96),F,Mujeres,Superior a 1 año,614.33,
0210 Carcinoma in situ D00-D09,T,Ambos sexos,Total,4.17,
0210 Carcinoma in situ D00-D09,T,Ambos sexos,De 1 a 30 días,3.33,
0210 Carcinoma in situ D00-D09,T,Ambos sexos,De 31 días a 6 meses,39.02,
0210 Carcinoma in situ D00-D09,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0210 Carcinoma in situ D00-D09,T,Ambos sexos,Superior a 1 año,0.00,
0210 Carcinoma in situ D00-D09,M,Hombres,Total,5.34,
0210 Carcinoma in situ D00-D09,M,Hombres,De 1 a 30 días,3.72,
