diagnosticos_principales;sexos_id;sexos_nombre;grupos_edad_id;grupos_edad_nombre;estancia_media_residentes_canarias_dados_alta_cualquier_hospital_nacional
Todas las causas (ver excepciones en metodología);F;Mujeres;12;De 95 y más años;46.03
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;T;Total grupos de edad;16.98
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;0;Menores de 1 año;5.89
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;1;De 1 a 4 años;4.42
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;2;De 5 a 14 años;5.75
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;3;De 15 a 24 años;8.63
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;4;De 25 a 34 años;9.15
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;5;De 35 a 44 años;11.04
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;6;De 45 a 54 años;13.67
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;7;De 55 a 64 años;19.32
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;8;De 65 a 74 años;22.21
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;9;De 75 a 84 años;19.24
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;10;De 85 a 89 años;21.60
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;11;De 90 a 94 años;16.92
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;T;Ambos sexos;12;De 95 y más años;15.81
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;T;Total grupos de edad;17.94
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;0;Menores de 1 año;6.52
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;1;De 1 a 4 años;4.81
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;2;De 5 a 14 años;5.81
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;3;De 15 a 24 años;9.34
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;4;De 25 a 34 años;9.51
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;5;De 35 a 44 años;11.41
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;6;De 45 a 54 años;14.43
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;7;De 55 a 64 años;22.37
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;8;De 65 a 74 años;21.32
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;9;De 75 a 84 años;21.49
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;10;De 85 a 89 años;23.52
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;11;De 90 a 94 años;19.00
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;M;Hombres;12;De 95 y más años;18.33
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;T;Total grupos de edad;15.76
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;0;Menores de 1 año;5.21
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;1;De 1 a 4 años;3.95
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;2;De 5 a 14 años;5.67
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;3;De 15 a 24 años;7.77
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;4;De 25 a 34 años;8.58
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;5;De 35 a 44 años;10.44
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;6;De 45 a 54 años;12.36
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;7;De 55 a 64 años;14.75
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;8;De 65 a 74 años;23.51
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;9;De 75 a 84 años;16.74
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;10;De 85 a 89 años;20.26
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;11;De 90 a 94 años;15.63
0100 Ciertas enfermedades infecciosas y parasitarias A00-B99;F;Mujeres;12;De 95 y más años;14.83
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;T;Total grupos de edad;11.10
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;0;Menores de 1 año;3.23
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;1;De 1 a 4 años;6.78
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;2;De 5 a 14 años;5.72
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;3;De 15 a 24 años;7.45
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;4;De 25 a 34 años;7.79
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;5;De 35 a 44 años;7.62
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;6;De 45 a 54 años;14.11
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;7;De 55 a 64 años;10.46
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;8;De 65 a 74 años;9.08
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;9;De 75 a 84 años;12.41
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;10;De 85 a 89 años;18.51
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;11;De 90 a 94 años;24.76
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;T;Ambos sexos;12;De 95 y más años;7.00
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;T;Total grupos de edad;11.25
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;0;Menores de 1 año;3.47
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;1;De 1 a 4 años;9.33
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;2;De 5 a 14 años;5.87
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;3;De 15 a 24 años;8.56
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;4;De 25 a 34 años;7.06
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;5;De 35 a 44 años;8.88
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;6;De 45 a 54 años;9.99
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;7;De 55 a 64 años;9.77
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;8;De 65 a 74 años;9.40
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;9;De 75 a 84 años;14.64
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;10;De 85 a 89 años;18.23
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;11;De 90 a 94 años;58.33
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;M;Hombres;12;De 95 y más años;7.00
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;T;Total grupos de edad;10.95
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;0;Menores de 1 año;2.50
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;1;De 1 a 4 años;4.22
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;2;De 5 a 14 años;5.57
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;3;De 15 a 24 años;6.21
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;4;De 25 a 34 años;8.43
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;5;De 35 a 44 años;5.74
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;6;De 45 a 54 años;17.35
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;7;De 55 a 64 años;11.29
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;8;De 65 a 74 años;8.83
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;9;De 75 a 84 años;10.00
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;10;De 85 a 89 años;18.75
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;11;De 90 a 94 años;17.13
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;F;Mujeres;12;De 95 y más años;0.00
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;T;Total grupos de edad;7.80
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;0;Menores de 1 año;5.33
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;1;De 1 a 4 años;3.50
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;2;De 5 a 14 años;2.00
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;3;De 15 a 24 años;3.09
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;4;De 25 a 34 años;3.96
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;5;De 35 a 44 años;3.78
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;6;De 45 a 54 años;3.52
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;7;De 55 a 64 años;7.70
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;8;De 65 a 74 años;10.62
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;9;De 75 a 84 años;12.69
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;10;De 85 a 89 años;11.88
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;11;De 90 a 94 años;14.29
0102 Gastroenteritis y colitis infecciosas A09;T;Ambos sexos;12;De 95 y más años;18.00
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;T;Total grupos de edad;7.54
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;0;Menores de 1 año;3.00
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;1;De 1 a 4 años;4.50
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;2;De 5 a 14 años;1.83
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;3;De 15 a 24 años;3.67
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;4;De 25 a 34 años;4.38
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;5;De 35 a 44 años;3.00
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;6;De 45 a 54 años;3.94
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;7;De 55 a 64 años;8.38
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;8;De 65 a 74 años;13.35
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;9;De 75 a 84 años;13.55
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;10;De 85 a 89 años;10.50
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;11;De 90 a 94 años;9.55
0102 Gastroenteritis y colitis infecciosas A09;M;Hombres;12;De 95 y más años;0.00
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;T;Total grupos de edad;8.07
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;0;Menores de 1 año;6.50
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;1;De 1 a 4 años;2.00
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;2;De 5 a 14 años;2.25
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;3;De 15 a 24 años;2.40
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;4;De 25 a 34 años;3.36
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;5;De 35 a 44 años;4.84
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;6;De 45 a 54 años;3.08
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;7;De 55 a 64 años;6.91
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;8;De 65 a 74 años;8.04
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;9;De 75 a 84 años;11.93
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;10;De 85 a 89 años;13.27
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;11;De 90 a 94 años;18.00
0102 Gastroenteritis y colitis infecciosas A09;F;Mujeres;12;De 95 y más años;18.00
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;T;Total grupos de edad;24.74
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;0;Menores de 1 año;0.00
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;1;De 1 a 4 años;0.00
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;2;De 5 a 14 años;16.50
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;3;De 15 a 24 años;17.15
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;4;De 25 a 34 años;12.04
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;5;De 35 a 44 años;27.66
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;6;De 45 a 54 años;18.44
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;7;De 55 a 64 años;44.50
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;8;De 65 a 74 años;15.80
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;9;De 75 a 84 años;17.67
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;10;De 85 a 89 años;24.21
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;11;De 90 a 94 años;72.00
0103 Tuberculosis A15-A19, B90;T;Ambos sexos;12;De 95 y más años;0.00
0103 Tuberculosis A15-A19, B90;M;Hombres;T;Total grupos de edad;26.78
0103 Tuberculosis A15-A19, B90;M;Hombres;0;Menores de 1 año;0.00
0103 Tuberculosis A15-A19, B90;M;Hombres;1;De 1 a 4 años;0.00
0103 Tuberculosis A15-A19, B90;M;Hombres;2;De 5 a 14 años;16.50
0103 Tuberculosis A15-A19, B90;M;Hombres;3;De 15 a 24 años;17.15
0103 Tuberculosis A15-A19, B90;M;Hombres;4;De 25 a 34 años;13.79
0103 Tuberculosis A15-A19, B90;M;Hombres;5;De 35 a 44 años;22.59
0103 Tuberculosis A15-A19, B90;M;Hombres;6;De 45 a 54 años;12.00
0103 Tuberculosis A15-A19, B90;M;Hombres;7;De 55 a 64 años;46.58
0103 Tuberculosis A15-A19, B90;M;Hombres;8;De 65 a 74 años;24.00
0103 Tuberculosis A15-A19, B90;M;Hombres;9;De 75 a 84 años;25.00
0103 Tuberculosis A15-A19, B90;M;Hombres;10;De 85 a 89 años;0.00
0103 Tuberculosis A15-A19, B90;M;Hombres;11;De 90 a 94 años;72.00
0103 Tuberculosis A15-A19, B90;M;Hombres;12;De 95 y más años;0.00
0103 Tuberculosis A15-A19, B90;F;Mujeres;T;Total grupos de edad;19.38
0103 Tuberculosis A15-A19, B90;F;Mujeres;0;Menores de 1 año;0.00
0103 Tuberculosis A15-A19, B90;F;Mujeres;1;De 1 a 4 años;0.00
0103 Tuberculosis A15-A19, B90;F;Mujeres;2;De 5 a 14 años;0.00
0103 Tuberculosis A15-A19, B90;F;Mujeres;3;De 15 a 24 años;0.00
0103 Tuberculosis A15-A19, B90;F;Mujeres;4;De 25 a 34 años;8.50
0103 Tuberculosis A15-A19, B90;F;Mujeres;5;De 35 a 44 años;45.50
0103 Tuberculosis A15-A19, B90;F;Mujeres;6;De 45 a 54 años;23.60
0103 Tuberculosis A15-A19, B90;F;Mujeres;7;De 55 a 64 años;13.00
0103 Tuberculosis A15-A19, B90;F;Mujeres;8;De 65 a 74 años;13.75
0103 Tuberculosis A15-A19, B90;F;Mujeres;9;De 75 a 84 años;14.00
0103 Tuberculosis A15-A19, B90;F;Mujeres;10;De 85 a 89 años;24.21
0103 Tuberculosis A15-A19, B90;F;Mujeres;11;De 90 a 94 años;0.00
0103 Tuberculosis A15-A19, B90;F;Mujeres;12;De 95 y más años;0.00
0104 Septicemia A40-A41;T;Ambos sexos;T;Total grupos de edad;24.61
0104 Septicemia A40-A41;T;Ambos sexos;0;Menores de 1 año;13.67
0104 Septicemia A40-A41;T;Ambos sexos;1;De 1 a 4 años;7.80
0104 Septicemia A40-A41;T;Ambos sexos;2;De 5 a 14 años;15.50
0104 Septicemia A40-A41;T;Ambos sexos;3;De 15 a 24 años;18.74
0104 Septicemia A40-A41;T;Ambos sexos;4;De 25 a 34 años;19.76
0104 Septicemia A40-A41;T;Ambos sexos;5;De 35 a 44 años;17.08
0104 Septicemia A40-A41;T;Ambos sexos;6;De 45 a 54 años;19.74
0104 Septicemia A40-A41;T;Ambos sexos;7;De 55 a 64 años;29.26
0104 Septicemia A40-A41;T;Ambos sexos;8;De 65 a 74 años;30.08
0104 Septicemia A40-A41;T;Ambos sexos;9;De 75 a 84 años;21.82
0104 Septicemia A40-A41;T;Ambos sexos;10;De 85 a 89 años;28.28
0104 Septicemia A40-A41;T;Ambos sexos;11;De 90 a 94 años;16.47
0104 Septicemia A40-A41;T;Ambos sexos;12;De 95 y más años;17.74
0104 Septicemia A40-A41;M;Hombres;T;Total grupos de edad;26.22
0104 Septicemia A40-A41;M;Hombres;0;Menores de 1 año;16.00
0104 Septicemia A40-A41;M;Hombres;1;De 1 a 4 años;8.00
0104 Septicemia A40-A41;M;Hombres;2;De 5 a 14 años;0.00
0104 Septicemia A40-A41;M;Hombres;3;De 15 a 24 años;26.93
0104 Septicemia A40-A41;M;Hombres;4;De 25 a 34 años;41.20
0104 Septicemia A40-A41;M;Hombres;5;De 35 a 44 años;16.11
0104 Septicemia A40-A41;M;Hombres;6;De 45 a 54 años;19.19
0104 Septicemia A40-A41;M;Hombres;7;De 55 a 64 años;36.33
0104 Septicemia A40-A41;M;Hombres;8;De 65 a 74 años;22.38
0104 Septicemia A40-A41;M;Hombres;9;De 75 a 84 años;24.30
0104 Septicemia A40-A41;M;Hombres;10;De 85 a 89 años;35.80
0104 Septicemia A40-A41;M;Hombres;11;De 90 a 94 años;17.37
0104 Septicemia A40-A41;M;Hombres;12;De 95 y más años;22.20
0104 Septicemia A40-A41;F;Mujeres;T;Total grupos de edad;22.87
0104 Septicemia A40-A41;F;Mujeres;0;Menores de 1 año;5.50
0104 Septicemia A40-A41;F;Mujeres;1;De 1 a 4 años;7.75
0104 Septicemia A40-A41;F;Mujeres;2;De 5 a 14 años;15.50
0104 Septicemia A40-A41;F;Mujeres;3;De 15 a 24 años;6.25
0104 Septicemia A40-A41;F;Mujeres;4;De 25 a 34 años;9.09
0104 Septicemia A40-A41;F;Mujeres;5;De 35 a 44 años;18.98
0104 Septicemia A40-A41;F;Mujeres;6;De 45 a 54 años;20.40
0104 Septicemia A40-A41;F;Mujeres;7;De 55 a 64 años;16.62
0104 Septicemia A40-A41;F;Mujeres;8;De 65 a 74 años;43.28
0104 Septicemia A40-A41;F;Mujeres;9;De 75 a 84 años;19.18
0104 Septicemia A40-A41;F;Mujeres;10;De 85 a 89 años;23.74
0104 Septicemia A40-A41;F;Mujeres;11;De 90 a 94 años;15.85
0104 Septicemia A40-A41;F;Mujeres;12;De 95 y más años;15.58
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;T;Total grupos de edad;30.34
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;0;Menores de 1 año;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;1;De 1 a 4 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;2;De 5 a 14 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;3;De 15 a 24 años;15.93
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;4;De 25 a 34 años;18.58
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;5;De 35 a 44 años;22.88
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;6;De 45 a 54 años;19.48
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;7;De 55 a 64 años;69.04
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;8;De 65 a 74 años;15.63
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;9;De 75 a 84 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;10;De 85 a 89 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;11;De 90 a 94 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;T;Ambos sexos;12;De 95 y más años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;T;Total grupos de edad;32.99
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;0;Menores de 1 año;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;1;De 1 a 4 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;2;De 5 a 14 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;3;De 15 a 24 años;19.00
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;4;De 25 a 34 años;14.20
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;5;De 35 a 44 años;23.72
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;6;De 45 a 54 años;18.98
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;7;De 55 a 64 años;83.98
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;8;De 65 a 74 años;15.85
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;9;De 75 a 84 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;10;De 85 a 89 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;11;De 90 a 94 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;M;Hombres;12;De 95 y más años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;T;Total grupos de edad;20.84
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;0;Menores de 1 año;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;1;De 1 a 4 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;2;De 5 a 14 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;3;De 15 a 24 años;13.00
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;4;De 25 a 34 años;33.33
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;5;De 35 a 44 años;20.43
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;6;De 45 a 54 años;21.92
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;7;De 55 a 64 años;15.32
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;8;De 65 a 74 años;15.00
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;9;De 75 a 84 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;10;De 85 a 89 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;11;De 90 a 94 años;0.00
0105 Infección del virus de la inmunodeficiencia humana B20;F;Mujeres;12;De 95 y más años;0.00
